,allsp,nl
1,矮冬青,AM
2,矮小天仙果,AM
3,凹脉柃,AM
4,八角枫,AM
5,白毛椴,EcM
6,百日青,AM
7,半枫荷,AM
8,薄叶润楠,AM
9,薄叶山矾,AM
10,北江荛花,AM
11,变叶树参,AM
12,伯乐树,AM
13,茶,AM
14,茶梨,AM
15,檫木,NM-AM
16,常绿荚o,AM
17,赤楠,AM
18,赤杨叶,AM
19,翅柃,AM
20,川桂,AM
21,刺毛杜鹃,ErM
22,刺楸,AM
23,刺叶桂樱,AM
24,B木,AM
25,大果冬青,AM
26,大果马蹄荷,AM
27,大果卫矛,AM
28,大青,AM
29,大叶新木姜子,AM
30,单耳柃,AM
31,倒卵叶紫麻,NM-AM
32,灯台树,AM
33,东方古柯,AM
34,冬青,AM
35,杜英,AM
36,短柄紫珠,AM
37,短尾越桔,ErM
38,钝齿尖叶桂樱,AM
39,多花山矾,AM
40,多脉青冈,EcM
41,芬芳安息香,AM
42,枫香树,AM
43,凤凰润楠,AM
44,福建柏,AM
45,福建假卫矛,AM
46,钩锥,EcM
47,狗骨柴,AM
48,构棘,AM
49,谷木叶冬青,AM
50,冠盖藤,AM
51,光亮山矾,AM
52,光叶山矾,AM
53,光叶石楠,AM
54,广东冬青,AM
55,广东杜鹃,ErM
56,广东木瓜红,AM
57,海通,AM
58,海桐山矾,AM
59,黑柃,AM
60,黑叶冬青,AM
61,红淡比,AM
62,红楠,AM
63,红紫珠,AM
64,猴欢喜,AM
65,猴头杜鹃,ErM
66,厚边木樨,AM
67,厚皮香,AM
68,厚叶冬青,AM
69,厚叶红淡比,AM
70,厚叶厚皮香,AM
71,厚叶紫茎,AM
72,虎皮楠,AM
73,华南青皮木,AM
74,华南吴萸,AM
75,华南五针松,EcM
76,黄丹木姜子,AM
77,黄棉木,AM
78,黄牛奶树,AM
79,黄樟,AM
80,尖脉木姜子,AM
81,尖叶川杨桐,AM
82,尖叶毛柃,AM
83,江南越桔,ErM
84,交让木,AM
85,金毛柯,EcM
86,金叶含笑,AM
87,金叶细枝柃,AM
88,栲,EcM
89,苦树,AM
90,蜡瓣花,AM
91,蜡莲绣球,AM
92,蓝果树,AM
93,老鼠矢,AM
94,乐东拟单性木兰,AM
95,雷公鹅耳枥,EcM
96,棱果花,AM
97,里白算盘子,AM
98,楝叶吴萸,AM
99,两广杨桐,AM
100,亮叶桦,EcM
101,岭南枫,AM
102,鹿角杜鹃,ErM
103,鹿角锥,EcM
104,罗浮枫,AM
105,罗浮栲,EcM
106,绿冬青,AM
107,马比木,AM
108,马尾松,EcM
109,马银花,ErM
110,满山红,ErM
111,蔓胡颓子,AM
112,毛冬青,AM
113,毛桂,AM
114,毛棉杜鹃花,ErM
115,毛山矾,AM
116,毛桃木莲,AM
117,毛叶石楠,AM
118,美叶柯,EcM
119,密花山矾,AM
120,木荷,AM
121,木姜润楠,AM
122,木姜子,AM
123,木莲,AM
124,木莓,AM
125,南方红豆杉,AM
126,南国山矾,AM
127,南岭黄檀,AM
128,南岭山矾,AM
129,南酸枣,AM
130,南烛,ErM
131,拟榕叶冬青,AM
132,刨花润楠,AM
133,朴树,AM
134,茜树,AM
135,青冈,EcM
136,青榨枫,AM
137,清风藤,AM
138,日本粗叶木,AM
139,日本杜英,AM
140,日本女贞,AM
141,绒毛石楠,AM
142,榕叶冬青,AM
143,锐尖山香圆,AM
144,山槐,AM
145,山鸡椒,AM
146,山绿柴,AM
147,山桐子,AM
148,山乌桕,AM
149,杉木,AM
150,少花柏拉木,AM
151,少叶黄杞,AM
152,深山含笑,AM
153,石斑木,AM
154,石灰花楸,AM
155,鼠刺,AM
156,水青冈,EcM
157,水团花,AM
158,水榆花楸,AM
159,酸味子,AM
160,穗花杉,AM
161,穗序鹅掌柴,AM
162,台湾林檎,AM
163,台湾泡桐,AM
164,甜槠,EcM
165,铁冬青,AM
166,微毛柃,AM
167,微毛山矾,AM
168,五列木,AM
169,西川朴,AM
170,细脉木樨,AM
171,细叶青冈,EcM
172,细枝柃,AM
173,狭叶海桐,AM
174,狭叶山矾,AM
175,狭叶山黄麻,AM
176,显脉冬青,AM
177,显脉新木姜子,AM
178,腺柄山矾,AM
179,腺毛泡花树,AM
180,腺叶桂樱,AM
181,香椿,AM
182,香港四照花,AM
183,香桂,AM
184,香花枇杷,AM
185,香皮树,AM
186,香叶树,AM
187,小果冬青,AM
188,小蜡,AM
189,小叶青冈,EcM
190,新木姜子,AM
191,星毛鸭脚木,AM
192,锈叶新木姜子,AM
193,蕈树,AM
194,延平柿,AM
195,盐肤木,AM
196,杨梅,AM
197,野漆,AM
198,野柿,AM
199,野桐,AM
200,野鸦椿,AM
201,异叶榕,AM
202,银钟花,AM
203,瘿椒树,AM
204,硬壳柯,EcM
205,羽脉新木姜子,AM
206,圆锥柯,EcM
207,圆锥绣球,AM
208,越南安息香,AM
209,云和新木姜子,AM
210,云南桤叶树,AM
211,云山青冈,EcM
212,窄基红褐柃,AM
213,樟叶泡花树,AM
214,长苞铁杉,EcM
215,长花厚壳树,NM-AM
216,长毛山矾,AM
217,长尾毛蕊茶,AM
218,长尾乌饭,ErM
219,针齿铁仔,AM
220,珍珠花,ErM
221,枝花流苏树,AM
222,栀子,AM
223,枳,AM
224,中国旌节花,AM
225,中国绣球,AM
226,中华枫,AM
227,钟花樱桃,AM
228,朱砂根,AM
229,紫楠,AM
