,sp,palanan
1,AGLAAM,AM
2,AGLAAR,AM
3,AGLAED,AM
4,AGLAEL,AM
5,AGLALW,AM
6,AGLAOL,AM
7,ALANME,AM
8,ALBZBU,AM
9,ALLODI,AM
10,ALLOLE,AM
11,ALSEEL,AM
12,ALSEMA,AM
13,ANTHBA,AM
14,ANTICM,AM
15,ANTIPL,AM
16,APHAPO,AM
17,APORSP,AM
18,ARCH01,AM
19,ARCHSC,AM
20,ARDIPY,AM
21,ARDITO,AM
22,ARTORU,AM
23,ARTOTR,AM
24,ASTRCA,AM
25,ASTRWM,AM
26,BARRAC,AM
27,BARRPT,AM
28,BERRCO,AM
29,BHESPA,AM
30,BREY01,AM
31,CALOBL,AM
32,CALOCD,AM
33,CALOCU,AM
34,CAMELA,AM
35,CANAAS,AM
36,CANAEU,AM
37,CANAGR,AM
38,CANAHI,AM
39,CARYCM,AM
40,CASEFU,AM
41,CASEGE,AM
42,CASEGR,AM
43,CCRP01,AM
44,CCRPCU,AM
45,CCRPPL,AM
46,CELTLU,AM
47,CHIOCO,AM
48,CHISCE,AM
49,CHISCU,AM
50,CHISPA,AM
51,CHISPE,AM
52,CLAOAL,AM
53,CLAOAR,AM
54,CLAOEU,AM
55,CLAOPB,AM
56,CLERIN,AM
57,CLERMC,AM
58,CLERMI,AM
59,CLSTMY,AM
60,CONN01,AM
61,CONNGR,AM
62,CRATSU,AM
63,CRPTCU,AM
64,CRYPAM,AM
65,CRYPCG,AM
66,CRYPTJ,AM
67,CYATSU,AM
68,CYNOBI,AM
69,CYNOIN,AM
70,CYRTOB,AM
71,DACRIN,AM
72,DACRRO,AM
73,DASYCL,AM
74,DEHACA,AM
75,DEHAIN,AM
76,DILLLU,AM
77,DILLMG,AM
78,DILLPH,AM
79,DIMOMA,AM
80,DIMOPH,AM
81,DIOS02,AM
82,DIOS03,AM
83,DIOSBU,AM
84,DIOSCF,AM
85,DIOSKZ,AM
86,DIOSPE,AM
87,DIOSPO,AM
88,DIOSTO,AM
89,DISCEF,AM
90,DISCIN,AM
91,DISCLI,AM
92,DISCMI,AM
93,DPLDPA,AM
94,DPLSFA,AM
95,DPLSTI,AM
96,DRACED,AM
97,DRYPLO,AM
98,DRYPME,AM
99,DRYPMI,AM
100,DSCPWH,AM
101,DYSO06,AM
102,DYSO07,AM
103,DYSOAL,AM
104,DYSOAR,AM
105,DYSOCB,AM
106,DYSOCU,AM
107,DYSOEX,AM
108,DYSOOP,AM
109,DYSOPA,AM
110,DYSOPF,AM
111,ELAELA,AM
112,ELLITO,AM
113,ENDICO,AM
114,ENDOPE,AM
115,ENICGR,AM
116,ERYC01,AM
117,ERYTVA,AM
118,FICUBO,AM
119,FICUCO,AM
120,FICUFI,AM
121,FICUFK,AM
122,FICUIL,AM
123,FICULF,AM
124,FICUMC,AM
125,FICUMG,AM
126,FICUMH,AM
127,FICURC,AM
128,FICUSB,AM
129,FICUSC,AM
130,FICUTE,AM
131,FICUVR,AM
132,GARCCM,AM
133,GARCDU,AM
134,GARCDV,AM
135,GARCLF,AM
136,GARCMG,AM
137,GARCRU,AM
138,GARDLO,AM
139,GARDME,AM
140,GLOCAL,AM
141,GLOCLT,AM
142,GLOCNI,AM
143,GLOCSB,AM
144,GLOCSF,AM
145,GLOCTR,AM
146,GLYCGR,AM
147,GMPDCU,AM
148,GONIEL,AM
149,GONOCA,AM
150,GREWST,AM
151,GUIOPL,AM
152,GYMN01,AM
153,GYMNFA,AM
154,HAPLBB,AM
155,HAPLLA,AM
156,HORSCO,AM
157,IXORMA,AM
158,KAYELA,AM
159,KAYEPA,AM
160,KIBAEL,AM
161,KNEMGL,AM
162,KNEMKU,AM
163,LAGEBA,AM
164,LEEAAC,AM
165,LEEACG,AM
166,LEEAHA,AM
167,LEEAIN,AM
168,LEEANE,AM
169,LEEAPH,AM
170,LEPIFR,AM
171,LEPITE,AM
172,LEPTBA,AM
173,LITSAL,AM
174,LITSFU,AM
175,LITSGA,AM
176,LITSGB,AM
177,LITSGR,AM
178,LITSTO,AM
179,LITSUR,AM
180,LITSVA,AM
181,LOPHBE,AM
182,MACA02,AM
183,MACABI,AM
184,MACAGR,AM
185,MACAOV,AM
186,MACATA,AM
187,MAESDE,AM
188,MAGNCD,AM
189,MALLFL,AM
190,MALLMO,AM
191,MANGAL,AM
192,MARACO,AM
193,MATTHE,AM
194,MCRDMG,AM
195,MELAMG,AM
196,MEMEBR,AM
197,MEMEOL,AM
198,MEMERA,AM
199,MEMESY,AM
200,MISCPE,AM
201,MITRRF,AM
202,MLCPCO,AM
203,MLSTMA,AM
204,MYRIFR,AM
205,MYRIPH,AM
206,NAUC01,AM
207,NEPHRA,AM
208,NTRWCU,AM
209,NUVAAC,AM
210,OCTOSU,AM
211,OMPHMA,AM
212,ORANDE,AM
213,ORMOPA,AM
214,OROPCU,AM
215,OSMOFN,AM
216,PALA03,AM
217,PALA04,AM
218,PALA06,AM
219,PALA08,AM
220,PALABT,AM
221,PALAPH,AM
222,PALAPO,AM
223,PALATP,AM
224,PCRTPE,AM
225,PHOEST,AM
226,PHYLRA,AM
227,PINAIN,AM
228,PINAMA,AM
229,PIPTAS,AM
230,PLANSP,AM
231,POMEPI,AM
232,POUT02,AM
233,PRARSB,AM
234,PRUNFR,AM
235,PSYC02,AM
236,PSYCER,AM
237,PSYCMA,AM
238,PSYCMB,AM
239,PTERIN,AM
240,PTSPCE,AM
241,RADEPI,AM
242,SAURKL,AM
243,SEMEBU,AM
244,SEMECU,AM
245,SEMEDF,AM
246,SEMEGL,AM
247,SEMELF,AM
248,SEMEPH,AM
249,SIPHCE,AM
250,SLOAJA,AM
251,STERCO,AM
252,STERCP,AM
253,STERMO,AM
254,STERRU,AM
255,STROPH,AM
256,STRYAA,AM
257,SUREGL,AM
258,SYMPDE,AM
259,SYZY01,AM
260,SYZY05,AM
261,SYZY08,AM
262,SYZYBD,AM
263,SYZYBR,AM
264,SYZYBT,AM
265,SYZYCR,AM
266,SYZYCS,AM
267,SYZYEV,AM
268,SYZYGL,AM
269,SYZYLF,AM
270,SYZYLO,AM
271,SYZYLS,AM
272,SYZYLZ,AM
273,SYZYNI,AM
274,SYZYPO,AM
275,SYZYSM,AM
276,SYZYTP,AM
277,SYZYUR,AM
278,SYZYVD,AM
279,SYZYWZ,AM
280,TABEPA,AM
281,TERMFT,AM
282,TERMMC,AM
283,TRDNPH,AM
284,TRIGFI,AM
285,TRIGLP,AM
286,TURPSP,AM
287,VERNLA,AM
288,VILLFA,AM
289,VITIPH,AM
290,VOACGL,AM
291,WALSPI,AM
292,XPHLF2,AM
293,XPHLFL,AM
294,XPHLPA,AM
295,ZANTIN,AM
296,ZIZIAN,AM
297,DIPTHA,EcM
298,DIPTVA,EcM
299,HOPEAC,EcM
300,LITH01,EcM
301,LITHCD,EcM
302,SHORCO,EcM
303,SHORGU,EcM
304,SHORNE,EcM
305,SHORPA,EcM
306,SHORPH,EcM
307,SHORPO,EcM
308,VATIMA,EcM
309,HELIRO,NM
310,ARECWH,NM-AM
311,CAPPCA,NM-AM
312,DENDSC,NM-AM
313,GYNOAX,NM-AM
314,LCSKCP,NM-AM
315,MUSSAN,NM-AM
316,PANDB1,NM-AM
317,PANDBI,NM-AM
318,PANDOL,NM-AM
319,TARE01,NM-AM
320,CODILU,uncertain
321,PSUVLU,uncertain
